mco_id,contract,TC,Pfx,Address,Block,postal_code,Lift,fault_nbr,insert_date,tms_set_date,tms_clear_date,report_date,duration,DownTime_minute,fault_code,report_desc
2,15A,AK,A,ANG MO KIO AVENUE 1,207,560207,D,0,02/Jun/2016 12:14:04:143,,,02/Jun/2016 15:31:50:373,,197,1500,1500 - FALSE CALL
2,15A,AK,A,ANG MO KIO AVENUE 1,215,560215,B,0,11/Jun/2016 22:23:31:503,,,12/Jun/2016 00:24:52:306,121,121,1500,FALSE CALL
2,15A,AK,A,ANG MO KIO AVENUE 1,215,560215,B,11,25/Jun/2016 16:24:58:873,25/Jun/2016 16:25:06,25/Jun/2016 16:28:27,25/Jun/2016 19:09:58:966,165,165,1500,1500 - CHECK NORMAL
2,1U,AK,A,ANG MO KIO AVENUE 1,217,560217,B,0,06/Jun/2016 19:00:59:946,,,06/Jun/2016 22:10:31:08,189,189,1500,1500 - FALSE CALL
13,10U,AK,A,ANG MO KIO AVENUE 1,220,560220,A,15,02/Jun/2016 16:12:24:66,02/Jun/2016 16:12:21,02/Jun/2016 16:32:39,02/Jun/2016 17:03:34:366,51,51,1500,1706-CAN SYSTEM HANG RESET E200
13,10U,AK,A,ANG MO KIO AVENUE 1,220,560220,B,0,14/Jun/2016 12:29:56:946,,,14/Jun/2016 15:13:50:92,163,163,1701,1701-REPL 10TH FLR UP * DOWN P/BUTTON E100
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,A,0,25/Jun/2016 02:06:24:32,,,25/Jun/2016 07:25:42:643,319,319,1701,FAN STUCKED BY PAPER REMOVED
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,A,0,07/Jun/2016 10:28:05:24,,,07/Jun/2016 14:15:33:323,227,227,1701,"1701,MAN AT SITE MONTHLY SERVICING"
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,B,0,30/Jun/2016 04:45:16:936,,,30/Jun/2016 10:47:51:48,362,362,1500,CHECK LIFT NORMAL
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,B,0,27/Jun/2016 00:39:13:783,,,27/Jun/2016 11:25:13:073,645,645,1500,1500 - CHECK LIFT NORMAL
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,B,0,27/Jun/2016 23:39:47:11,,,28/Jun/2016 07:27:18:58,467,467,1701,READJUST FAN
12,13U,AK,A,ANG MO KIO AVENUE 1,221,560221,B,0,29/Jun/2016 05:04:20:92,,,29/Jun/2016 08:17:25:97,193,193,1701,READJUST BEEPING SOUND
21,5U,AK,A,ANG MO KIO AVENUE 1,223,560223,A,20,21/Jun/2016 11:59:59:573,21/Jun/2016 11:59:59:573,21/Jun/2016 21:26:51,21/Jun/2016 15:58:37:62,566,238,1701,1701-LIFT UNDER OMS
21,5U,AK,A,ANG MO KIO AVENUE 1,223,560223,A,20,20/Jun/2016 21:30:57:893,20/Jun/2016 23:19:12,,21/Jun/2016 01:41:55:746,869,250,1701,1701-LIFT OFF FOR FURTHER CHECKING(O.M.S)
21,5U,AK,A,ANG MO KIO AVENUE 1,223,560223,B,0,18/Jun/2016 09:26:06:243,,,19/Jun/2016 01:59:35:73,993,993,1705,"1705-I/CAR 1 LGT BLOWN, NEED TO REPLACE"
21,5U,AK,A,ANG MO KIO AVENUE 1,223,560223,B,0,17/Jun/2016 12:32:13:183,,,18/Jun/2016 00:41:47:426,729,729,1705,"1705-I/CAR  2 LGTS BLOWN, NEED REPLMT"
